,word1,word2,val
368,점심,메뉴,11943
369,파스타,갓생,11911
370,라면,갓생,11909
371,진심,블로그,11900
372,카페,마무리,11879
373,축하,갓생,11864
374,필요,오늘,11839
375,주일,공부,11818
376,정리,오늘,11815
377,추가,시작,11796
378,애기,갓생,11794
379,일상,운동,11783
380,행복,버스,11747
381,약속,블로그,11736
382,코로나,갓생,11731
383,성공,블로그,11708
384,진심,오늘,11704
385,행복,약속,11697
386,점심,새벽,11685
387,갓생,가방,11668
388,상황,갓생,11658
389,인생,이유,11648
390,카페,라떼,11642
391,경험,갓생,11635
392,운동,선물,11632
393,후기,시작,11617
394,샐러드,갓생,11614
395,오늘,메뉴,11599
396,학교,커피,11597
397,예정,시작,11545
398,사고,갓생,11541
399,집중,갓생,11540
400,힐링,갓생,11540
401,행복,서울,11536
402,평소,갓생,11526
403,갓생,간식,11525
404,시작,순간,11516
405,블로그,버스,11513
406,주간일기,시작,11498
407,작년,갓생,11483
408,식당,갓생,11456
409,카페,눈물,11453
410,지금,오늘,11449
411,책,인생,11445
412,후회,갓생,11406
413,참고,갓생,11404
414,웨이팅,갓생,11399
415,정리,블로그,11353
416,카페,인스타,11351
417,자랑,갓생,11328
418,학교,운동,11324
419,방법,갓생,11306
420,커피,주말,11306
421,피곤,카페,11287
422,행복,마무리,11283
423,학교,도착,11277
424,행복,지금,11276
425,헬스,갓생,11261
426,도착,공부,11255
427,커피,느낌,11251
428,시작,내용,11249
429,행복,여름,11228
430,점심,일상,11202
431,인생,느낌,11183
432,시작,노력,11181
433,행복,영화,11181
434,포기,시작,11179
435,아무것,갓생,11147
436,시작,도전,11133
437,카페,동네,11113
438,오늘,계획,11101
439,주말,공부,11099
440,여름,블로그,11091
441,동기,갓생,11085
442,학교,새벽,11076
443,시작,기간,11065
444,카페,만족,11044
445,오늘,여행,11038
446,카페,가족,11034
447,영화,블로그,11027
448,다리,갓생,11024
449,회사,카페,11018
450,챌린지,시작,11017
451,오늘,여름,11012
452,커피,노래,11003
453,한국,갓생,10999
454,블로그,마무리,10994
455,챌린지,블로그,10971
456,디저트,갓생,10968
457,관심,갓생,10960
458,점심,버스,10957
459,시작,결과,10954
460,시험,수업,10945
461,시험,기간,10925
462,오늘,눈물,10919
463,전화,시작,10915
464,기념,갓생,10915
465,선물,노래,10904
466,오픈,갓생,10895
467,스트레스,갓생,10886
468,병원,갓생,10878
469,운동,노래,10872
470,오늘,영화,10870
471,시작,목표,10867
472,버스,도착,10856
473,운동,수업,10853
474,운동,도착,10852
475,체력,갓생,10838
476,고생,갓생,10836
477,공부,계획,10830
478,문제,공부,10810
479,행복,가족,10806
480,주문,오늘,10805
481,카페,음료,10804
482,학교,이유,10801
483,케이크,시작,10798
484,서울,블로그,10795
485,그림,갓생,10792
486,블로그,계획,10792
487,이유,운동,10790
488,필요,블로그,10784
489,블로그,눈물,10774
490,학교,버스,10773
491,책,점심,10771
492,선물,도착,10770
493,네이버,갓생,10762
494,점심,약속,10759
495,오늘,서울,10754
496,오늘,상태,10754
497,일상,인생,10733
498,기간,공부,10732
499,식사,갓생,10714
500,학교,느낌,10700
501,대학,갓생,10680
502,다짐,갓생,10680
503,회사,퇴근,10661
504,점심,이유,10649
505,텐데,갓생,10647
506,치킨,시작,10642
507,오후,시작,10640
508,시작,동네,10639
509,인스타,오늘,10638
510,예전,시작,10636
511,지금,공부,10622
512,모임,갓생,10597
513,오늘,발견,10585
514,부족,갓생,10564
515,퇴근,주말,10564
516,운동,새벽,10555
517,필요,공부,10548
518,회사,오늘,10544
519,내일,공부,10534
520,블로그,기록,10534
521,당황,갓생,10530
522,서비스,갓생,10518
523,출근,주말,10518
524,행복,메뉴,10503
525,주간일기,블로그,10497
526,카페,계획,10488
527,주일,운동,10488
528,학교,책,10468
529,행복,필요,10464
530,정리,공부,10461
531,카페,아이스크림,10455
532,건가,갓생,10454
533,최애,시작,10452
534,실패,시작,10432
535,회사,출근,10412
536,프로,갓생,10412
537,종일,시작,10402
538,주일,점심,10388
539,카페,치킨,10377
540,카페,지금,10372
541,시작,부분,10352
542,커피,메뉴,10345
543,카드,갓생,10336
544,카페,일기,10327
545,헬스,운동,10322
546,스타일,갓생,10310
547,시작,다행,10303
548,인생,맛집,10301
549,오늘,걱정,10298
550,만남,갓생,10295
551,알바,갓생,10290
552,예약,시작,10271
553,인생,새벽,10255
554,연습,갓생,10253
555,스토리,갓생,10252
556,인생,도착,10242
557,행복,인스타,10238
558,행복,발견,10230
559,카페,정리,10214
560,출근,선물,10198
561,선물,맛집,10194
562,성공,공부,10189
563,기본,갓생,10174
564,활동,갓생,10171
565,유튜브,시작,10171
566,행복,만족,10167
567,카톡,갓생,10167
568,이틀,갓생,10161
569,기대,공부,10151
570,피곤,점심,10150
571,완벽,갓생,10149
572,행복,피곤,10147
573,블로그,발견,10124
574,필요,카페,10120
575,운동,맛집,10110
576,중요,시작,10104
577,이유,노래,10101
578,맛집,공부,10100
579,시작,그게,10099
580,설명,갓생,10097
581,수다,갓생,10082
582,주문,점심,10082
583,내년,갓생,10057
584,소주,갓생,10043
585,오늘,만족,10040
586,퇴근,선물,10039
587,커피,일상,10039
588,버스,공부,10038
589,느낌,노래,10031
590,시작,선생,10031
591,도착,노래,10017
592,카페,예약,10017
593,블로그,내일,10013
594,아이스크림,시작,10011
595,블로그,메뉴,10010
596,학교,교수,10009
597,카페,최애,10008
598,도착,느낌,10006
599,오늘,문제,9998
600,행복,정리,9997
601,강의,갓생,9997
602,회사,운동,9990
603,시작,감동,9990
604,일정,갓생,9984
605,행복,케이크,9980
606,취향,시작,9977
607,쿠키,갓생,9976
608,카페,상태,9957
609,시작,겨울,9932
610,진심,공부,9921
611,상태,블로그,9920
612,점심,기대,9916
613,이유,느낌,9905
614,점심,서울,9901
615,소스,갓생,9889
616,출근,공부,9884
617,추가,오늘,9868
618,약속,공부,9865
619,학교,주일,9863
620,주변,시작,9845
621,오늘,가족,9828
622,블로그,가족,9825
623,직원,갓생,9824
624,난리,갓생,9823
625,점심,마무리,9822
626,인생,수업,9818
627,완료,갓생,9814
628,담주,갓생,9809
629,커피,책,9803
630,칭찬,갓생,9789
631,시작,거기,9777
632,피곤,블로그,9774
633,과자,갓생,9769
634,커피,새벽,9769
635,행복,걱정,9768
636,맛집,도착,9764
637,학교,일상,9763
638,공간,갓생,9762
639,카페,걱정,9760
640,대박,갓생,9758
641,소개,갓생,9754
642,카페,방문,9752
643,옛날,갓생,9750
644,행복,상태,9749
645,냄새,갓생,9749
646,점심,성공,9741
647,선물,느낌,9739
648,이제,갓생,9738
649,행복,일기,9738
650,오전,시작,9735
651,커피,수업,9733
652,행복,계획,9729
653,중간,오늘,9720
654,영어,공부,9720
655,카페,떡볶이,9706
656,시작,개인,9706
657,시작,게임,9704
658,수업,노래,9700
659,새벽,도착,9688
660,운동,약속,9682
661,새벽,노래,9681
662,카페,중간,9681
663,퇴근,공부,9680
664,시작,구매,9667
665,여유,시작,9664
666,일기,공부,9659
667,퇴근,도착,9657
668,김치,갓생,9654
669,카페,추가,9652
670,기절,갓생,9644
671,카페,내일,9634
672,회사,행복,9628
673,수업,교수,9625
674,배달,갓생,9623
675,행복,인간,9619
676,오후,오늘,9619
677,커피,이유,9611
678,일기,운동,9610
679,친절,갓생,9606
680,공원,갓생,9602
681,운동,성공,9583
682,딸기,갓생,9581
683,카페,웨이팅,9574
684,인간,오늘,9571
685,인간,블로그,9560
686,카페,디저트,9556
687,종일,오늘,9555
688,출근,도착,9551
689,크림,카페,9550
690,택시,갓생,9543
691,현실,갓생,9540
692,행복,내일,9535
693,커피,주문,9534
694,블로그,걱정,9518
695,전화,오늘,9513
696,책,느낌,9509
